iter	Passed	Remaining
590	2847	1970
591	2850	1964
592	2854	1959
593	2857	1953
594	2863	1948
595	2866	1943
596	2870	1937
597	2873	1931
598	2878	1927
599	2882	1921
600	2885	1915
601	2889	1910
602	2894	1905
603	2898	1900
604	2902	1895
605	2906	1889
606	2910	1884
607	2914	1879
608	2918	1873
609	2922	1868
610	2926	1863
611	2931	1858
612	2934	1852
613	2938	1847
614	2943	1842
615	2946	1836
616	2950	1831
617	2953	1825
618	2958	1820
619	2962	1815
620	2965	1809
621	2969	1804
622	2973	1799
623	2977	1794
624	2981	1788
625	2984	1783
626	2989	1778
627	2993	1773
628	2997	1768
629	3001	1762
630	3005	1757
631	3009	1752
632	3013	1746
633	3016	1741
634	3021	1736
635	3025	1731
636	3029	1726
637	3033	1720
638	3037	1716
639	3042	1711
640	3046	1706
641	3050	1701
642	3055	1696
643	3059	1691
644	3063	1685
645	3067	1681
646	3071	1676
647	3075	1670
648	3079	1665
649	3084	1660
650	3088	1655
651	3091	1650
652	3095	1645
653	3100	1640
654	3104	1635
655	3108	1630
656	3112	1624
657	3117	1620
658	3121	1615
659	3125	1610
660	3131	1605
661	3136	1601
662	3141	1596
663	3145	1591
664	3150	1587
665	3154	1582
666	3159	1577
667	3163	1572
668	3167	1567
669	3171	1562
670	3175	1556
671	3179	1551
672	3183	1546
673	3188	1542
674	3192	1537
675	3197	1532
676	3201	1527
677	3205	1522
678	3210	1517
679	3215	1513
680	3220	1508
681	3224	1503
682	3230	1499
683	3234	1494
684	3239	1489
685	3244	1484
686	3248	1479
687	3252	1474
688	3255	1469
689	3260	1464
690	3264	1459
691	3268	1454
692	3272	1449
693	3276	1444
694	3280	1439
695	3284	1434
696	3288	1429
697	3293	1424
698	3297	1420
699	3301	1415
700	3305	1410
701	3310	1405
702	3314	1400
703	3317	1395
704	3322	1390
705	3327	1385
706	3332	1381
707	3336	1376
708	3342	1371
709	3346	1366
710	3350	1362
711	3355	1357
712	3359	1352
713	3364	1347
714	3368	1342
715	3374	1338
716	3378	1333
717	3383	1328
718	3387	1323
719	3392	1319
720	3396	1314
721	3400	1309
722	3405	1304
723	3409	1299
724	3413	1294
725	3417	1289
726	3423	1285
727	3427	1280
728	3431	1275
729	3435	1270
730	3439	1265
731	3444	1261
732	3448	1256
733	3453	1251
734	3457	1246
735	3461	1241
736	3465	1236
737	3470	1232
738	3475	1227
739	3479	1222
740	3483	1217
741	3487	1212
742	3491	1207
743	3495	1202
744	3501	1198
745	3505	1193
746	3509	1188
747	3513	1183
748	3519	1179
749	3524	1174
750	3528	1169
751	3533	1165
752	3537	1160
753	3541	1155
754	3546	1150
755	3551	1146
756	3554	1141
757	3558	1136
758	3562	1131
759	3567	1126
760	3571	1121
761	3576	1116
762	3580	1112
763	3585	1107
764	3589	1102
765	3593	1097
766	3598	1093
767	3602	1088
768	3606	1083
769	3610	1078
770	3615	1073
771	3619	1068
772	3623	1064
773	3627	1059
774	3631	1054
775	3636	1049
776	3640	1044
777	3645	1040
778	3650	1035
